"family","order","class","final_diet","feed_mode","source","notes","zoophagous","phytophagous","detritophagous","mycetophagous","saprophagous","coprophagous","phyllophagous","saproxylic","sap.sucking","stem","flower","seed","gall.inducing","miners","roots","not.specified","predator","parasitoid","micropredator","parasite","necrophorous","not.specified.1","n","c","c-(h)","c-d","c-d-h","c-f","c-h","d","d-f","d-h","f","f-h","h","h-(c)","diet.cat","diet.cat2"
"Tachinidae","Diptera","Insecta","zoophagous","parasite","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Tephritidae","Diptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0","0","0","0.5","0.4","0","0.1","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Tipulidae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0.1","0.9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Trichoceridae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Ulidiidae","Diptera","Insecta","mixed","saproxylic","Horren",".9 det/sap/cop","0","0.1","0.8","0","0.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Baetidae","Ephemeroptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Caenidae","Ephemeroptera","Insecta","detritophagous","NA","Horren",NA,"0","0.1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Ephemerellidae","Ephemeroptera","Insecta","phytophagous","not specified","Horren",NA,"0.1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Adelgidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-sap sucking","Phytophagous"
"Aphalaridae","Hemiptera","Insecta","phytophagous","sap sucking","Sharma & Raman (2017)","https://researchoutput.csu.edu.au/en/publications/feeding-biology-and-nutritional-physiology-of-psylloidea-insecta-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-sap sucking","Phytophagous"
"Aphididae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-sap sucking","Phytophagous"
"Cicadellidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","94","0","0","0","0","0","0","0","0","0","0","0","1","0","phytophagous-sap sucking","Phytophagous"
"Cicadidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-sap sucking","Phytophagous"
"Coreidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","phytophagous-sap sucking","Phytophagous"
"Fulgoridae","Hemiptera","Insecta","phytophagous","sap sucking","Borror",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-sap sucking","Phytophagous"
"Lygaeidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","1","1","phytophagous-sap sucking","Phytophagous"
"Miridae","Hemiptera","Insecta","mixed","mixed","Horren",NA,"0.2","0.8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","82","1","1","0","0","0","1","0","0","0","0","0","1","1","multiple categories","Mulitple categories"
"Pemphigidae","Hemiptera","Insecta","phytophagous","gall","Wool (2004)","https://www.researchgate.net/profile/David-Wool/publication/8980791_Galling_Aphids_Specialization_Biological_Complexity_and_Variation/links/5e81cd5b299bf1a91b8a5426/Galling-Aphids-Specialization-Biological-Complexity-and-Variation.pdf","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-galls/miners","Phytophagous"
"Pentatomidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","1","0","0","0","0","0","1","1","phytophagous-sap sucking","Phytophagous"
"Phymatidae","Hemiptera","Insecta","zoophagous","predator","Review article https://reader.elsevier.com/reader/sd/pii/S1049964411000417?token=BDAB0A51E200C364249182315B4325E0689266220DF7B29BB46F37BCF50A4C88CDA13A7DB493A1F066BEE5E989A8AE1D&originRegion=eu-west-1&originCreation=20220712130618",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Reduviidae","Hemiptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Saldidae","Hemiptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Aphelinidae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Braconidae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Chrysididae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Diprionidae","Hymenoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Formicidae","Hymenoptera","Insecta","zoophagous","predator","Horren",NA,"0.9","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Ichneumonidae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Mymaridae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Pergidae","Hymenoptera","Insecta","phytophagous","phyllophagous","Sawfly GenUS","http://idtools.org/id/sawfly/factsheet.php?name=17592","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Platygastridae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Scelionidae","Hymenoptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Tenthredinidae","Hymenoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0.8","0","0","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Vespidae","Hymenoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Blastobasidae","Lepidoptera","Insecta","detritophagous","NA","Horren",NA,"0","0.1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Bombycidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren","Not found in wild in US according to Borror","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Bucculatricidae","Lepidoptera","Insecta","phytophagous","miners","Horren",NA,"0","1","0","0","0","0","0.1","0","0","0","0","0","0","0.9","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-galls/miners","Phytophagous"
"Cosmopterigidae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0.2","0","0","0","0","0","0.2","0.6","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Crambidae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0.4","0","0","0.1","0.1","0.1","0","0","0.3","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Elachistidae","Lepidoptera","Insecta","phytophagous","miners","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-galls/miners","Phytophagous"
"Erebidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Plutellidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Borror","several sources say Mimosa webworm is the only spp in North America (Galacticidae in most non-NCBI taxonomies)","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Gelechiidae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0.1","0.1","0.8","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Geometridae","Lepidoptera","Insecta","phytophagous","not specified","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Gracillariidae","Lepidoptera","Insecta","phytophagous","miners","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-galls/miners","Phytophagous"
"Hesperiidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Limacodidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Lycaenidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0.1","0.9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Meessiidae","Lepidoptera","Insecta","mixed","NA","Reiger et al. (2015)","doi.org/10.1111/syen.12110 (mycetophagy, detritophagy)","NA","NA","0.5","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Nepticulidae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0","0.1","0","0","0","0.1","0.1","0.7","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Noctuidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Notodontidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Nymphalidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Oecophoridae","Lepidoptera","Insecta","mixed","mixed","Horren",NA,"0","0.8","0.2","0","0","0","0","0.8","0","0","0","0","0","0","0","0.2","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Papilionidae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0.7","0","0","0.2","0.1","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Pyralidae","Lepidoptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.8","0.1","0","0","0","0.8","0","0","0","0","0","0","0","0","0.2","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Saturniidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Sphingidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Stathmopodidae","Lepidoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Tineidae","Lepidoptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.1","0.8","0","0","0","0.3","0","0","0","0.1","0.3","0","0","0","0.3","0","0","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Tortricidae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Eremiaphilidae","Mantodea","Insecta","zoophagous","predator","Borror","Based on Mantodea descriptions; Eremiaphilidae was part of Tarachodidae until recently; Not clear if Eremiaphilidae is present in North America.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Mantidae","Mantodea","Insecta","zoophagous","predator","Horren","Note: Horren lists as ""micropredator"" but that is incorrect","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Chrysopidae","Neuroptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Coniopterygidae","Neuroptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Hemerobiidae","Neuroptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Mantispidae","Neuroptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Nymphidae","Neuroptera","Insecta","zoophagous","predator","Haug et al. (2022)","doi.org/10.1007/s12542-021-00550-1 (but says they are restricted to Australasia)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Coenagrionidae","Odonata","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Libellulidae","Odonata","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Acrididae","Orthoptera","Insecta","phytophagous","not specified","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","phytophagous-multiple/other","Phytophagous"
"Gryllidae","Orthoptera","Insecta","mixed","mixed","Horren",NA,"0.3","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","multiple categories","Mulitple categories"
"Rhaphidophoridae","Orthoptera","Insecta","mixed","mixed","Sigfrid Ingrisch, D.C.F. Rentz, in Encyclopedia of Insects (Second Edition), 2009",NA,"0.2","0","0.7","0.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","multiple categories","Mulitple categories"
"Tettigoniidae","Orthoptera","Insecta","mixed","mixed","Horren",NA,"0.6","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","7","0","1","0","0","0","1","0","0","0","0","0","0","1","multiple categories","Mulitple categories"
"Diapheromeridae","Phasmatodea","Insecta","phytophagous","phyllophagous","Borror","Based on description of Phasmatodea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Amphipsocidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Caeciliusidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Ectopsocidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Lachesillidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Lepidopsocidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Myopsocidae","Psocoptera","Insecta","saprophagous","NA","Horen","Assumed saprophagous as Horen lists all others as such and Borror does not mention they are special; also they are closely related to Psocidae according to several sources","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Peripsocidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Philotarsidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Pseudocaeciliidae","Psocoptera","Insecta","saprophagous","NA","Horen","Assumed saprophagous as Horen lists all others as such and Borror does not mention they are special","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Psocidae","Psocoptera","Insecta","saprophagous","NA","Horren",NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Ceratophyllidae","Siphonaptera","Insecta","zoophagous","micropredator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Thripidae","Thysanoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Hydroptilidae","Trichoptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.1","0.8","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Leptoceridae","Trichoptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.3","0.6","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
